MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
5.280,527,76,675,2
5.300,523,68,673,2
5.320,526,0,672,2
5.340,521,192,672,2
5.360,524,12,671,2
5.380,519,72,670,2
5.400,521,200,670,2
5.420,520,64,668,2
5.440,520,72,670,2
5.460,518,0,668,2
5.480,517,64,668,2
5.500,516,128,668,2
5.520,518,12,667,2
5.540,514,200,666,2
5.560,515,192,664,2
5.580,510,128,664,2
5.600,510,64,664,2
5.620,510,12,663,2
5.640,509,200,662,2
5.660,510,68,661,2
5.680,510,0,660,2
5.700,507,12,659,2
5.720,510,140,659,2
5.740,508,72,658,2
5.760,505,4,657,2
5.780,505,132,657,2
5.800,510,128,656,2
5.820,505,192,656,2
5.840,504,140,655,2
5.860,506,140,655,2
5.880,505,136,654,2
5.900,505,64,652,3
5.920,504,132,653,3
5.940,505,140,651,3
5.960,502,204,651,3
5.980,503,132,649,3
6.000,498,0,648,3
6.020,497,76,647,3
6.040,499,76,647,3
6.060,499,136,646,3
6.080,495,72,646,3
6.100,494,8,646,3
6.120,497,132,645,3
6.140,496,64,644,3
6.160,494,64,644,3
6.180,491,12,643,3
6.200,494,72,642,3
6.220,496,132,641,3
6.240,487,192,640,3
6.260,490,128,640,3
6.280,487,72,638,3
6.300,487,200,638,3
6.320,489,196,637,3
6.340,487,196,637,3
6.360,483,128,636,3
6.380,483,64,636,3
6.400,486,12,635,3
6.420,484,136,634,3
6.440,479,196,633,3
6.460,483,128,632,3
6.480,486,12,631,3
6.500,484,192,632,3
6.520,486,140,631,3
6.540,483,200,630,3
6.560,486,196,629,3
6.580,484,68,629,3
6.600,481,192,628,3
6.620,488,192,628,3
6.640,482,204,627,3
6.660,487,140,627,3
6.680,481,8,626,3
6.700,489,192,624,3
6.720,483,204,623,3
6.740,485,140,623,3
6.760,484,8,622,3
6.780,485,132,621,3
6.800,486,192,620,3
6.820,481,128,620,3
6.840,483,0,620,3
6.860,485,76,619,3
6.880,483,12,619,3
6.900,484,136,618,3
6.920,487,196,617,3
6.940,482,64,616,3
6.960,488,76,615,3
6.980,483,200,614,3
7.000,486,72,614,3
7.020,487,4,613,3
7.040,485,64,612,3
7.060,487,140,611,3
7.080,483,76,611,3
7.100,486,204,611,3
7.120,484,72,610,3
7.140,486,196,609,3
7.160,487,0,608,3
7.180,485,204,607,3
7.200,489,140,607,3
7.220,483,8,606,3
7.240,488,200,606,3
7.260,487,132,605,3
7.280,488,192,604,3
7.300,487,76,603,3
7.320,487,204,603,3
7.340,489,200,602,3
7.360,488,132,601,3
7.380,487,0,600,3
7.400,489,128,600,3
7.420,492,204,599,3
7.440,489,72,598,3
7.460,487,72,598,3
7.480,487,192,596,3
7.500,487,12,595,3
7.520,490,204,595,3
7.540,488,12,595,3
7.560,491,200,594,3
7.580,494,196,593,3
7.600,490,68,593,3
7.620,487,4,593,3
7.640,489,192,592,3
7.660,490,64,592,3
7.680,489,12,591,3
7.700,491,76,591,3
7.720,488,196,589,3
7.740,492,196,589,3
7.760,489,192,588,3
7.780,487,140,587,3
7.800,490,12,587,3
7.820,487,192,588,3
7.840,490,128,588,3
7.860,492,140,587,3
7.880,492,204,587,3
7.900,489,72,586,3
7.920,493,132,585,3
7.940,492,68,585,3
7.960,493,192,584,3
7.980,490,12,583,3
8.000,490,12,583,3
8.020,493,72,582,3
8.040,491,204,583,3
8.060,492,136,582,3
8.080,492,196,581,3
8.100,494,140,579,3
8.120,490,12,579,3
8.140,493,12,579,3
8.160,492,72,578,3
8.180,492,72,578,3
8.200,488,4,577,3
8.220,492,68,577,3
8.240,490,128,576,3
8.260,492,140,575,3
8.280,493,72,574,3
8.300,491,200,574,3
8.320,491,8,574,3
8.340,492,8,574,3
8.360,492,132,573,3
8.380,490,128,572,3
8.400,492,64,572,3
8.420,492,0,572,3
8.440,491,8,570,3
8.460,490,12,571,3
8.480,494,8,570,3
8.500,491,132,569,3
8.520,491,4,569,3
8.540,491,64,568,3
8.560,492,204,567,3
8.580,492,200,566,3
8.600,491,8,566,3
8.620,490,8,566,3
8.640,492,136,566,3
8.660,492,0,564,3
8.680,494,0,564,3
8.700,492,204,563,3
8.720,493,140,563,3
8.740,494,140,563,3
8.760,492,196,561,3
8.780,494,196,561,3
8.800,492,192,560,3
8.820,490,0,560,3
8.840,493,12,559,3
8.860,492,204,559,3
8.880,496,136,558,3
8.900,494,8,558,3
8.920,495,4,557,3
8.940,495,132,557,3
8.960,494,0,556,3
8.980,494,76,555,3
9.000,493,140,555,3
9.020,492,12,555,3
9.040,495,140,555,3
9.060,494,12,555,3
9.080,495,140,555,3
9.100,494,68,553,3
9.120,494,4,553,3
9.140,492,0,552,3
9.160,494,140,551,3
